1
1	YOU ARE STANDING AT THE END OF A ROAD BEFORE A SMALL BRICK BUILDING.
1	AROUND YOU IS A FOREST.  A SMALL STREAM FLOWS OUT OF THE BUILDING AND
1	DOWN A GULLY.
2	YOU HAVE WALKED UP A HILL, STILL IN THE FOREST.  THE ROAD SLOPES BACK
2	DOWN THE OTHER SIDE OF THE HILL.  THERE IS A BUILDING IN THE DISTANCE.
3	YOU ARE INSIDE A BUILDING, A WELL HOUSE FOR A LARGE SPRING.
4	YOU ARE IN A VALLEY IN THE FOREST BESIDE A STREAM TUMBLING ALONG A
4	ROCKY BED.
5	YOU ARE IN OPEN FOREST, WITH A DEEP VALLEY TO ONE SIDE.
6	YOU ARE IN OPEN FOREST NEAR BOTH A VALLEY AND A ROAD.
7	AT YOUR FEET ALL THE WATER OF THE STREAM SPLASHES INTO A 2-INCH SLIT
7	IN THE ROCK.  DOWNSTREAM THE STREAMBED IS BARE ROCK.
8	YOU ARE IN A 20-FOOT DEPRESSION FLOORED WITH BARE DIRT.  SET INTO THE
8	DIRT IS A STRONG STEEL GRATE MOUNTED IN CONCRETE.  A DRY STREAMBED
8	LEADS INTO THE DEPRESSION.
9	YOU ARE IN A SMALL CHAMBER BENEATH A 3X3 STEEL GRATE TO THE SURFACE.
9	A LOW CRAWL OVER COBBLES LEADS INWARD TO THE WEST.
10	YOU ARE CRAWLING OVER COBBLES IN A LOW PASSAGE.  THERE IS A DIM LIGHT
10	AT THE EAST END OF THE PASSAGE.
11	YOU ARE IN A DEBRIS ROOM FILLED WITH STUFF WASHED IN FROM THE SURFACE.
11	A LOW WIDE PASSAGE WITH COBBLES BECOMES PLUGGED WITH MUD AND DEBRIS
11	HERE, BUT AN AWKWARD CANYON LEADS UPWARD AND WEST.  A NOTE ON THE WALL
11	SAYS "MAGIC WORD XYZZY".
12	YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON.
13	YOU ARE IN A SPLENDID CHAMBER THIRTY FEET HIGH.  THE WALLS ARE FROZEN
13	RIVERS OF ORANGE STONE.  AN AWKWARD CANYON AND A GOOD PASSAGE EXIT
13	FROM EAST AND WEST SIDES OF THE CHAMBER.
14	AT YOUR FEET IS A SMALL PIT BREATHING TRACES OF WHITE MIST.  AN EAST
14	PASSAGE ENDS HERE EXCEPT FOR A SMALL CRACK LEADING ON.
15	YOU ARE AT ONE END OF A VAST HALL STRETCHING FORWARD OUT OF SIGHT TO
15	THE WEST.  THERE ARE OPENINGS TO EITHER SIDE.  NEARBY, A WIDE STONE
15	STAIRCASE LEADS DOWNWARD.  THE HALL IS FILLED WITH WISPS OF WHITE MIST
15	SWAYING TO AND FRO ALMOST AS IF ALIVE.	A COLD WIND BLOWS UP THE
15	STAIRCASE.  THERE IS A PASSAGE AT THE TOP OF A DOME BEHIND YOU.
16	THE CRACK IS FAR TOO SMALL FOR YOU TO FOLLOW.
17	YOU ARE ON THE EAST BANK OF A FISSURE SLICING CLEAR ACROSS THE HALL.
17	THE MIST IS QUITE THICK HERE, AND THE FISSURE IS TOO WIDE TO JUMP.
18	THIS IS A LOW ROOM WITH A CRUDE NOTE ON THE WALL.  THE NOTE SAYS,
18	"YOU WON'T GET IT UP THE STEPS".
19	YOU ARE IN THE HALL OF THE MOUNTAIN KING, WITH PASSAGES OFF IN ALL
19	DIRECTIONS.
20	YOU ARE AT THE BOTTOM OF THE PIT WITH A BROKEN NECK.
21	YOU DIDN'T MAKE IT.
22	THE DOME IS UNCLIMBABLE.
23	YOU ARE AT THE WEST END OF THE TWOPIT ROOM.  THERE IS A LARGE HOLE IN
23	THE WALL ABOVE THE PIT AT THIS END OF THE ROOM.
24	YOU ARE AT THE BOTTOM OF THE EASTERN PIT IN THE TWOPIT ROOM.  THERE IS
24	A SMALL POOL OF OIL IN ONE CORNER OF THE PIT.
25	YOU ARE AT THE BOTTOM OF THE WESTERN PIT IN THE TWOPIT ROOM.  THERE IS
25	A LARGE HOLE IN THE WALL ABOUT 25 FEET ABOVE YOU.
26	YOU CLAMBER UP THE PLANT AND SCURRY THROUGH THE HOLE AT THE TOP.
27	YOU ARE ON THE WEST SIDE OF THE FISSURE IN THE HALL OF MISTS.
28	YOU ARE IN A LOW N/S PASSAGE AT A HOLE IN THE FLOOR.  THE HOLE GOES
28	DOWN TO AN E/W PASSAGE.
29	YOU ARE IN THE SOUTH SIDE CHAMBER.
30	YOU ARE IN THE WEST SIDE CHAMBER OF THE HALL OF THE MOUNTAIN KING.
30	A PASSAGE CONTINUES WEST AND UP HERE.
31	>$<
32	YOU CAN'T GET BY THE SNAKE.
33	YOU ARE IN A LARGE ROOM, WITH A PASSAGE TO THE SOUTH, A PASSAGE TO THE
33	WEST, AND A WALL OF BROKEN ROCK TO THE EAST.  THERE IS A LARGE "Y2" ON
33	A ROCK IN THE ROOM'S CENTER.
34	YOU ARE IN A JUMBLE OF ROCK, WITH CRACKS EVERYWHERE.
35	YOU'RE AT A LOW WINDOW OVERLOOKING A HUGE PIT, WHICH EXTENDS UP OUT OF
35	SIGHT.	A FLOOR IS INDISTINCTLY VISIBLE OVER 50 FEET BELOW.  TRACES OF
35	WHITE MIST COVER THE FLOOR OF THE PIT, BECOMING THICKER TO THE RIGHT.
35	MARKS IN THE DUST AROUND THE WINDOW WOULD SEEM TO INDICATE THAT
35	SOMEONE HAS BEEN HERE RECENTLY.  DIRECTLY ACROSS THE PIT FROM YOU AND
35	25 FEET AWAY THERE IS A SIMILAR WINDOW LOOKING INTO A LIGHTED ROOM.  A
35	SHADOWY FIGURE CAN BE SEEN THERE PEERING BACK AT YOU.
36	YOU ARE IN A DIRTY BROKEN PASSAGE.  TO THE EAST IS A CRAWL.  TO THE
36	WEST IS A LARGE PASSAGE.  ABOVE YOU IS A HOLE TO ANOTHER PASSAGE.
37	YOU ARE ON THE BRINK OF A SMALL CLEAN CLIMBABLE PIT.  A CRAWL LEADS
37	WEST.
38	YOU ARE IN THE BOTTOM OF A SMALL PIT WITH A LITTLE STREAM, WHICH
38	ENTERS AND EXITS THROUGH TINY SLITS.
39	YOU ARE IN A LARGE ROOM FULL OF DUSTY ROCKS.  THERE IS A BIG HOLE IN
39	THE FLOOR.  THERE ARE CRACKS EVERYWHERE, AND A PASSAGE LEADING EAST.
40	YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH
40	OF THE HALL OF MISTS.
41	YOU ARE AT THE WEST END OF HALL OF MISTS.  A LOW WIDE CRAWL CONTINUES
41	WEST AND ANOTHER GOES NORTH.  TO THE SOUTH IS A LITTLE PASSAGE 6 FEET
41	OFF THE FLOOR.
42	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
43	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
44	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
45	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
46	DEAD END
47	DEAD END
48	DEAD END
49	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
50	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
51	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
52	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
53	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
54	DEAD END
55	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
56	DEAD END
57	YOU ARE ON THE BRINK OF A THIRTY FOOT PIT WITH A MASSIVE ORANGE COLUMN
57	DOWN ONE WALL.	YOU COULD CLIMB DOWN HERE BUT YOU COULD NOT GET BACK
57	UP.  THE MAZE CONTINUES AT THIS LEVEL.
58	DEAD END
59	YOU HAVE CRAWLED THROUGH A VERY LOW WIDE PASSAGE PARALLEL TO AND NORTH
59	OF THE HALL OF MISTS.
60	YOU ARE AT THE EAST END OF A VERY LONG HALL APPARENTLY WITHOUT SIDE
60	CHAMBERS.  TO THE EAST A LOW WIDE CRAWL SLANTS UP.  TO THE NORTH A
60	ROUND TWO FOOT HOLE SLANTS DOWN.
61	YOU ARE AT THE WEST END OF A VERY LONG FEATURELESS HALL.  THE HALL
61	JOINS UP WITH A NARROW NORTH/SOUTH PASSAGE.
62	YOU ARE AT A CROSSOVER OF A HIGH N/S PASSAGE AND A LOW E/W ONE.
63	DEAD END
64	YOU ARE AT A COMPLEX JUNCTION.	A LOW HANDS AND KNEES PASSAGE FROM THE
64	NORTH JOINS A HIGHER CRAWL FROM THE EAST TO MAKE A WALKING PASSAGE
64	GOING WEST.  THERE IS ALSO A LARGE ROOM ABOVE.	THE AIR IS DAMP HERE.
65	YOU ARE IN BEDQUILT, A LONG EAST/WEST PASSAGE WITH HOLES EVERYWHERE.
65	TO EXPLORE AT RANDOM SELECT NORTH, SOUTH, UP, OR DOWN.
66	YOU ARE IN A ROOM WHOSE WALLS RESEMBLE SWISS CHEESE.  OBVIOUS PASSAGES
66	GO WEST, EAST, NE, AND NW.  PART OF THE ROOM IS OCCUPIED BY A LARGE
66	BEDROCK BLOCK.
67	YOU ARE AT THE EAST END OF THE TWOPIT ROOM.  THE FLOOR HERE IS
67	LITTERED WITH THIN ROCK SLABS, WHICH MAKE IT EASY TO DESCEND THE PITS.
67	THERE IS A PATH HERE BYPASSING THE PITS TO CONNECT PASSAGES FROM EAST
67	AND WEST.  THERE ARE HOLES ALL OVER, BUT THE ONLY BIG ONE IS ON THE
67	WALL DIRECTLY OVER THE WEST PIT WHERE YOU CAN'T GET TO IT.
68	YOU ARE IN A LARGE LOW CIRCULAR CHAMBER WHOSE FLOOR IS AN IMMENSE SLAB
68	FALLEN FROM THE CEILING (SLAB ROOM).  EAST AND WEST THERE ONCE WERE
68	LARGE PASSAGES, BUT THEY ARE NOW FILLED WITH BOULDERS.	LOW SMALL
68	PASSAGES GO NORTH AND SOUTH, AND THE SOUTH ONE QUICKLY BENDS WEST
68	AROUND THE BOULDERS.
69	YOU ARE IN A SECRET N/S CANYON ABOVE A LARGE ROOM.
70	YOU ARE IN A SECRET N/S CANYON ABOVE A SIZABLE PASSAGE.
71	YOU ARE IN A SECRET CANYON AT A JUNCTION OF THREE CANYONS, BEARING
71	NORTH, SOUTH, AND SE.  THE NORTH ONE IS AS TALL AS THE OTHER TWO
71	COMBINED.
72	YOU ARE IN A LARGE LOW ROOM.  CRAWLS LEAD NORTH, SE, AND SW.
73	DEAD END CRAWL.
74	YOU ARE IN A SECRET CANYON WHICH HERE RUNS E/W.  IT CROSSES OVER A
74	VERY TIGHT CANYON 15 FEET BELOW.  IF YOU GO DOWN YOU MAY NOT BE ABLE
74	TO GET BACK UP.
75	YOU ARE AT A WIDE PLACE IN A VERY TIGHT N/S CANYON.
76	THE CANYON HERE BECOMES TOO TIGHT TO GO FURTHER SOUTH.
77	YOU ARE IN A TALL E/W CANYON.  A LOW TIGHT CRAWL GOES 3 FEET NORTH AND
77	SEEMS TO OPEN UP.
78	THE CANYON RUNS INTO A MASS OF BOULDERS -- DEAD END.
79	THE STREAM FLOWS OUT THROUGH A PAIR OF 1 FOOT DIAMETER SEWER PIPES.
79	IT WOULD BE ADVISABLE TO USE THE EXIT.
80	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
81	DEAD END
82	DEAD END
83	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
84	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
85	DEAD END
86	DEAD END
87	YOU ARE IN A MAZE OF TWISTY LITTLE PASSAGES, ALL ALIKE.
88	YOU ARE IN A LONG, NARROW CORRIDOR STRETCHING OUT OF SIGHT TO THE
88	WEST.  AT THE EASTERN END IS A HOLE THROUGH WHICH YOU CAN SEE A
88	PROFUSION OF LEAVES.
89	THERE IS NOTHING HERE TO CLIMB.  USE "UP" OR "OUT" TO LEAVE THE PIT.
90	YOU HAVE CLIMBED UP THE PLANT AND OUT OF THE PIT.
91	YOU ARE AT THE TOP OF A STEEP INCLINE ABOVE A LARGE ROOM.  YOU COULD
91	CLIMB DOWN HERE, BUT YOU WOULD NOT BE ABLE TO CLIMB UP.  THERE IS A
91	PASSAGE LEADING BACK TO THE NORTH.
92	YOU ARE IN THE GIANT ROOM.  THE CEILING HERE IS TOO HIGH UP FOR YOUR
92	LAMP TO SHOW IT.  CAVERNOUS PASSAGES LEAD EAST, NORTH, AND SOUTH.  ON
92	THE WEST WALL IS SCRAWLED THE INSCRIPTION, "FEE FIE FOE FOO" [SIC].
93	THE PASSAGE HERE IS BLOCKED BY A RECENT CAVE-IN.
94	YOU ARE AT ONE END OF AN IMMENSE NORTH/SOUTH PASSAGE.
95	YOU ARE IN A MAGNIFICENT CAVERN WITH A RUSHING STREAM, WHICH CASCADES
95	OVER A SPARKLING WATERFALL INTO A ROARING WHIRLPOOL WHICH DISAPPEARS
